INT	INT	STRING	STRING	STRING	STRING	STRING
3076	3	3:10000	221:2000|263:6000|602:2000	281:2000|323:6000|604:2000	1161:10000	1141:10000
3077	3	3:10000	221:2000|263:6000|602:2000	281:2000|323:6000|604:2000	1161:10000	1141:10000
3081	3	3:10000	2:2000|43:6000|602:2000	101:2000|123:6000|604:2000	1021:10000	1001:10000
3082	3	3:10000	2:2000|43:6000|602:2000	101:2000|123:6000|604:2000	1021:10000	1001:10000
3083	3	3:10000	221:2000|263:6000|602:2000	281:2000|323:6000|604:2000	1161:10000	1141:10000
3084	3	3:10000	221:2000|263:6000|602:2000	281:2000|323:6000|604:2000	1161:10000	1141:10000
3085	3	3:10000	221:2000|263:6000|602:2000	281:2000|323:6000|604:2000	1161:10000	1141:10000
3086	3	3:10000	221:2000|263:6000|602:2000	281:2000|323:6000|604:2000	1161:10000	1141:10000
3087	3	3:10000	221:2000|263:6000|602:2000	281:2000|323:6000|604:2000	1161:10000	1141:10000
3061	4	3:10000	2:3000|43:7000|602:0	101:3000|123:7000|604:0	1021:10000	1001:10000
3062	4	3:10000	2:3000|43:7000|602:0	101:3000|123:7000|604:0	1021:10000	1001:10000
3063	4	3:10000	221:3000|263:7000|602:0	281:3000|323:7000|604:0	1161:10000	1141:10000
3064	4	3:10000	221:3000|263:7000|602:0	281:3000|323:7000|604:0	1161:10000	1141:10000
3065	4	3:10000	221:3000|263:7000|602:0	281:3000|323:7000|604:0	1161:10000	1141:10000
3066	4	3:10000	221:3000|263:7000|602:0	281:3000|323:7000|604:0	1161:10000	1141:10000
3067	4	3:10000	221:3000|263:7000|602:0	281:3000|323:7000|604:0	1161:10000	1141:10000
3071	4	3:10000	2:3000|43:7000|602:0	101:3000|123:7000|604:0	1021:10000	1001:10000
3072	4	3:10000	2:3000|43:7000|602:0	101:3000|123:7000|604:0	1021:10000	1001:10000
3073	4	3:10000	221:3000|263:7000|602:0	281:3000|323:7000|604:0	1161:10000	1141:10000
3074	4	3:10000	221:3000|263:7000|602:0	281:3000|323:7000|604:0	1161:10000	1141:10000
3075	4	3:10000	221:3000|263:7000|602:0	281:3000|323:7000|604:0	1161:10000	1141:10000
3076	4	3:10000	221:3000|263:7000|602:0	281:3000|323:7000|604:0	1161:10000	1141:10000
3077	4	3:10000	221:3000|263:7000|602:0	281:3000|323:7000|604:0	1161:10000	1141:10000
3081	4	3:10000	2:3000|43:7000|602:0	101:3000|123:7000|604:0	1021:10000	1001:10000
3082	4	3:10000	2:3000|43:7000|602:0	101:3000|123:7000|604:0	1021:10000	1001:10000
3083	4	3:10000	221:3000|263:7000|602:0	281:3000|323:7000|604:0	1161:10000	1141:10000
3084	4	3:10000	221:3000|263:7000|602:0	281:3000|323:7000|604:0	1161:10000	1141:10000
3085	4	3:10000	221:3000|263:7000|602:0	281:3000|323:7000|604:0	1161:10000	1141:10000
3086	4	3:10000	221:3000|263:7000|602:0	281:3000|323:7000|604:0	1161:10000	1141:10000
3087	4	3:10000	221:3000|263:7000|602:0	281:3000|323:7000|604:0	1161:10000	1141:10000
3061	5	4:10000	2:10000|43:0|602:0	101:10000|123:0|604:0	1021:10000	1001:10000
3062	5	4:10000	2:10000|43:0|602:0	101:10000|123:0|604:0	1021:10000	1001:10000
3063	5	4:10000	221:10000|263:0|602:0	281:10000|323:0|604:0	1161:10000	1141:10000
3064	5	4:10000	221:10000|263:0|602:0	281:10000|323:0|604:0	1161:10000	1141:10000
3065	5	4:10000	221:10000|263:0|602:0	281:10000|323:0|604:0	1161:10000	1141:10000
3066	5	4:10000	221:10000|263:0|602:0	281:10000|323:0|604:0	1161:10000	1141:10000
3067	5	4:10000	221:10000|263:0|602:0	281:10000|323:0|604:0	1161:10000	1141:10000
3071	5	4:10000	2:10000|43:0|602:0	101:10000|123:0|604:0	1021:10000	1001:10000
3072	5	4:10000	2:10000|43:0|602:0	101:10000|123:0|604:0	1021:10000	1001:10000
3073	5	4:10000	221:10000|263:0|602:0	281:10000|323:0|604:0	1161:10000	1141:10000
3074	5	4:10000	221:10000|263:0|602:0	281:10000|323:0|604:0	1161:10000	1141:10000
3075	5	4:10000	221:10000|263:0|602:0	281:10000|323:0|604:0	1161:10000	1141:10000
3076	5	4:10000	221:10000|263:0|602:0	281:10000|323:0|604:0	1161:10000	1141:10000
3077	5	4:10000	221:10000|263:0|602:0	281:10000|323:0|604:0	1161:10000	1141:10000
3081	5	4:10000	2:10000|43:0|602:0	101:10000|123:0|604:0	1021:10000	1001:10000
3082	5	4:10000	2:10000|43:0|602:0	101:10000|123:0|604:0	1021:10000	1001:10000
3083	5	4:10000	221:10000|263:0|602:0	281:10000|323:0|604:0	1161:10000	1141:10000
3084	5	4:10000	221:10000|263:0|602:0	281:10000|323:0|604:0	1161:10000	1141:10000
3085	5	4:10000	221:10000|263:0|602:0	281:10000|323:0|604:0	1161:10000	1141:10000
3086	5	4:10000	221:10000|263:0|602:0	281:10000|323:0|604:0	1161:10000	1141:10000
3087	5	4:10000	221:10000|263:0|602:0	281:10000|323:0|604:0	1161:10000	1141:10000
2091	1	1:10000	1:0|24:0|601:10000	101:0|124:0|604:10000	-1	-1
2092	1	1:10000	1:0|24:0|601:10000	101:0|124:0|604:10000	-1	-1
2093	1	1:10000	201:0|244:0|601:10000	281:0|324:0|604:10000	-1	-1
2094	1	1:10000	201:0|244:0|601:10000	281:0|324:0|604:10000	-1	-1
2095	1	1:10000	201:0|244:0|601:10000	281:0|324:0|604:10000	-1	-1
2096	1	1:10000	201:0|244:0|601:10000	281:0|324:0|604:10000	-1	-1
2097	1	1:10000	201:0|244:0|601:10000	281:0|324:0|604:10000	-1	-1
2101	1	1:10000	1:0|24:0|601:10000	101:0|124:0|604:10000	-1	-1
2102	1	1:10000	1:0|24:0|601:10000	101:0|124:0|604:10000	-1	-1
2103	1	1:10000	201:0|244:0|601:10000	281:0|324:0|604:10000	-1	-1
2104	1	1:10000	201:0|244:0|601:10000	281:0|324:0|604:10000	-1	-1
2105	1	1:10000	201:0|244:0|601:10000	281:0|324:0|604:10000	-1	-1
2106	1	1:10000	201:0|244:0|601:10000	281:0|324:0|604:10000	-1	-1
2107	1	1:10000	201:0|244:0|601:10000	281:0|324:0|604:10000	-1	-1
2111	1	1:10000	1:0|24:0|601:10000	101:0|124:0|604:10000	-1	-1
2112	1	1:10000	1:0|24:0|601:10000	101:0|124:0|604:10000	-1	-1
2113	1	1:10000	201:0|244:0|601:10000	281:0|324:0|604:10000	-1	-1
2114	1	1:10000	201:0|244:0|601:10000	281:0|324:0|604:10000	-1	-1
2115	1	1:10000	201:0|244:0|601:10000	281:0|324:0|604:10000	-1	-1
2116	1	1:10000	201:0|244:0|601:10000	281:0|324:0|604:10000	-1	-1
2117	1	1:10000	201:0|244:0|601:10000	281:0|324:0|604:10000	-1	-1
2091	2	1:10000	1:0|24:10000|601:0	101:0|124:10000|604:0	-1	-1
2092	2	1:10000	1:0|24:10000|601:0	101:0|124:10000|604:0	-1	-1
2093	2	1:10000	201:0|244:10000|601:0	281:0|324:10000|604:0	-1	-1
2094	2	1:10000	201:0|244:10000|601:0	281:0|324:10000|604:0	-1	-1
2095	2	1:10000	201:0|244:10000|601:0	281:0|324:10000|604:0	-1	-1
2096	2	1:10000	201:0|244:10000|601:0	281:0|324:10000|604:0	-1	-1
2097	2	1:10000	201:0|244:10000|601:0	281:0|324:10000|604:0	-1	-1
2101	2	1:10000	1:0|24:10000|601:0	101:0|124:10000|604:0	-1	-1
2102	2	1:10000	1:0|24:10000|601:0	101:0|124:10000|604:0	-1	-1
2103	2	1:10000	201:0|244:10000|601:0	281:0|324:10000|604:0	-1	-1
2104	2	1:10000	201:0|244:10000|601:0	281:0|324:10000|604:0	-1	-1
2105	2	1:10000	201:0|244:10000|601:0	281:0|324:10000|604:0	-1	-1
2106	2	1:10000	201:0|244:10000|601:0	281:0|324:10000|604:0	-1	-1
2107	2	1:10000	201:0|244:10000|601:0	281:0|324:10000|604:0	-1	-1
2111	2	1:10000	1:0|24:10000|601:0	101:0|124:10000|604:0	-1	-1
2112	2	1:10000	1:0|24:10000|601:0	101:0|124:10000|604:0	-1	-1
2113	2	1:10000	201:0|244:10000|601:0	281:0|324:10000|604:0	-1	-1
2114	2	1:10000	201:0|244:10000|601:0	281:0|324:10000|604:0	-1	-1
2115	2	1:10000	201:0|244:10000|601:0	281:0|324:10000|604:0	-1	-1
2116	2	1:10000	201:0|244:10000|601:0	281:0|324:10000|604:0	-1	-1
2117	2	1:10000	201:0|244:10000|601:0	281:0|324:10000|604:0	-1	-1
2091	3	1:5000|2:5000	1:1000|24:3000|601:6000	101:1000|124:3000|604:6000	-1	-1
2092	3	1:5000|2:5000	1:1000|24:3000|601:6000	101:1000|124:3000|604:6000	-1	-1
2093	3	1:5000|2:5000	201:1000|244:3000|601:6000	281:1000|324:3000|604:6000	-1	-1
2094	3	1:5000|2:5000	201:1000|244:3000|601:6000	281:1000|324:3000|604:6000	-1	-1
2095	3	1:5000|2:5000	201:1000|244:3000|601:6000	281:1000|324:3000|604:6000	-1	-1
2096	3	1:5000|2:5000	201:1000|244:3000|601:6000	281:1000|324:3000|604:6000	-1	-1
2097	3	1:5000|2:5000	201:1000|244:3000|601:6000	281:1000|324:3000|604:6000	-1	-1
2101	3	1:5000|2:5000	1:1000|24:3000|601:6000	101:1000|124:3000|604:6000	-1	-1
2102	3	1:5000|2:5000	1:1000|24:3000|601:6000	101:1000|124:3000|604:6000	-1	-1
2103	3	1:5000|2:5000	201:1000|244:3000|601:6000	281:1000|324:3000|604:6000	-1	-1
2104	3	1:5000|2:5000	201:1000|244:3000|601:6000	281:1000|324:3000|604:6000	-1	-1
2105	3	1:5000|2:5000	201:1000|244:3000|601:6000	281:1000|324:3000|604:6000	-1	-1
2106	3	1:5000|2:5000	201:1000|244:3000|601:6000	281:1000|324:3000|604:6000	-1	-1
2107	3	1:5000|2:5000	201:1000|244:3000|601:6000	281:1000|324:3000|604:6000	-1	-1
2111	3	1:5000|2:5000	1:1000|24:3000|601:6000	101:1000|124:3000|604:6000	-1	-1
2112	3	1:5000|2:5000	1:1000|24:3000|601:6000	101:1000|124:3000|604:6000	-1	-1
2113	3	1:5000|2:5000	201:1000|244:3000|601:6000	281:1000|324:3000|604:6000	-1	-1
2114	3	1:5000|2:5000	201:1000|244:3000|601:6000	281:1000|324:3000|604:6000	-1	-1
2115	3	1:5000|2:5000	201:1000|244:3000|601:6000	281:1000|324:3000|604:6000	-1	-1
2116	3	1:5000|2:5000	201:1000|244:3000|601:6000	281:1000|324:3000|604:6000	-1	-1
2117	3	1:5000|2:5000	201:1000|244:3000|601:6000	281:1000|324:3000|604:6000	-1	-1
2091	4	1:5000|2:5000	1:3000|24:3000|601:4000	101:3000|124:3000|604:4000	-1	-1
2092	4	1:5000|2:5000	1:3000|24:3000|601:4000	101:3000|124:3000|604:4000	-1	-1
2093	4	1:5000|2:5000	201:3000|244:3000|601:4000	281:3000|324:3000|604:4000	-1	-1
2094	4	1:5000|2:5000	201:3000|244:3000|601:4000	281:3000|324:3000|604:4000	-1	-1
2095	4	1:5000|2:5000	201:3000|244:3000|601:4000	281:3000|324:3000|604:4000	-1	-1
2096	4	1:5000|2:5000	201:3000|244:3000|601:4000	281:3000|324:3000|604:4000	-1	-1
2097	4	1:5000|2:5000	201:3000|244:3000|601:4000	281:3000|324:3000|604:4000	-1	-1
2101	4	1:5000|2:5000	1:3000|24:3000|601:4000	101:3000|124:3000|604:4000	-1	-1
2102	4	1:5000|2:5000	1:3000|24:3000|601:4000	101:3000|124:3000|604:4000	-1	-1
2103	4	1:5000|2:5000	201:3000|244:3000|601:4000	281:3000|324:3000|604:4000	-1	-1
2104	4	1:5000|2:5000	201:3000|244:3000|601:4000	281:3000|324:3000|604:4000	-1	-1
2105	4	1:5000|2:5000	201:3000|244:3000|601:4000	281:3000|324:3000|604:4000	-1	-1
2106	4	1:5000|2:5000	201:3000|244:3000|601:4000	281:3000|324:3000|604:4000	-1	-1
2107	4	1:5000|2:5000	201:3000|244:3000|601:4000	281:3000|324:3000|604:4000	-1	-1
2111	4	1:5000|2:5000	1:3000|24:3000|601:4000	101:3000|124:3000|604:4000	-1	-1
2112	4	1:5000|2:5000	1:3000|24:3000|601:4000	101:3000|124:3000|604:4000	-1	-1
2113	4	1:5000|2:5000	201:3000|244:3000|601:4000	281:3000|324:3000|604:4000	-1	-1
2114	4	1:5000|2:5000	201:3000|244:3000|601:4000	281:3000|324:3000|604:4000	-1	-1
2115	4	1:5000|2:5000	201:3000|244:3000|601:4000	281:3000|324:3000|604:4000	-1	-1
2116	4	1:5000|2:5000	201:3000|244:3000|601:4000	281:3000|324:3000|604:4000	-1	-1
2117	4	1:5000|2:5000	201:3000|244:3000|601:4000	281:3000|324:3000|604:4000	-1	-1
2091	5	2:10000	1:5000|24:5000|601:0	101:5000|124:5000|604:0	-1	-1
2092	5	2:10000	1:5000|24:5000|601:0	101:5000|124:5000|604:0	-1	-1
2093	5	2:10000	201:5000|244:5000|601:0	281:5000|324:5000|604:0	-1	-1
2094	5	2:10000	201:5000|244:5000|601:0	281:5000|324:5000|604:0	-1	-1
2095	5	2:10000	201:5000|244:5000|601:0	281:5000|324:5000|604:0	-1	-1
2096	5	2:10000	201:5000|244:5000|601:0	281:5000|324:5000|604:0	-1	-1
2097	5	2:10000	201:5000|244:5000|601:0	281:5000|324:5000|604:0	-1	-1
2101	5	2:10000	1:5000|24:5000|601:0	101:5000|124:5000|604:0	-1	-1
2102	5	2:10000	1:5000|24:5000|601:0	101:5000|124:5000|604:0	-1	-1
2103	5	2:10000	201:5000|244:5000|601:0	281:5000|324:5000|604:0	-1	-1
2104	5	2:10000	201:5000|244:5000|601:0	281:5000|324:5000|604:0	-1	-1
2105	5	2:10000	201:5000|244:5000|601:0	281:5000|324:5000|604:0	-1	-1
2106	5	2:10000	201:5000|244:5000|601:0	281:5000|324:5000|604:0	-1	-1
2107	5	2:10000	201:5000|244:5000|601:0	281:5000|324:5000|604:0	-1	-1
2111	5	2:10000	1:5000|24:5000|601:0	101:5000|124:5000|604:0	-1	-1
2112	5	2:10000	1:5000|24:5000|601:0	101:5000|124:5000|604:0	-1	-1
2113	5	2:10000	201:5000|244:5000|601:0	281:5000|324:5000|604:0	-1	-1
2114	5	2:10000	201:5000|244:5000|601:0	281:5000|324:5000|604:0	-1	-1
2115	5	2:10000	201:5000|244:5000|601:0	281:5000|324:5000|604:0	-1	-1
2116	5	2:10000	201:5000|244:5000|601:0	281:5000|324:5000|604:0	-1	-1
2117	5	2:10000	201:5000|244:5000|601:0	281:5000|324:5000|604:0	-1	-1
3091	1	3:10000	2:0|44:4000|602:6000	101:0|124:4000|604:6000	1021:10000	1001:10000
3092	1	3:10000	2:0|44:4000|602:6000	101:0|124:4000|604:6000	1021:10000	1001:10000
3093	1	3:10000	221:0|264:4000|602:6000	281:0|324:4000|604:6000	1161:10000	1141:10000
3094	1	3:10000	221:0|264:4000|602:6000	281:0|324:4000|604:6000	1161:10000	1141:10000
3095	1	3:10000	221:0|264:4000|602:6000	281:0|324:4000|604:6000	1161:10000	1141:10000
3096	1	3:10000	221:0|264:4000|602:6000	281:0|324:4000|604:6000	1161:10000	1141:10000
3097	1	3:10000	221:0|264:4000|602:6000	281:0|324:4000|604:6000	1161:10000	1141:10000
3101	1	3:10000	2:0|44:4000|602:6000	101:0|124:4000|604:6000	1021:10000	1001:10000
3102	1	3:10000	2:0|44:4000|602:6000	101:0|124:4000|604:6000	1021:10000	1001:10000
3103	1	3:10000	221:0|264:4000|602:6000	281:0|324:4000|604:6000	1161:10000	1141:10000
3104	1	3:10000	221:0|264:4000|602:6000	281:0|324:4000|604:6000	1161:10000	1141:10000
3105	1	3:10000	221:0|264:4000|602:6000	281:0|324:4000|604:6000	1161:10000	1141:10000
3106	1	3:10000	221:0|264:4000|602:6000	281:0|324:4000|604:6000	1161:10000	1141:10000
3107	1	3:10000	221:0|264:4000|602:6000	281:0|324:4000|604:6000	1161:10000	1141:10000
3111	1	3:10000	2:0|44:4000|602:6000	101:0|124:4000|604:6000	1021:10000	1001:10000
3112	1	3:10000	2:0|44:4000|602:6000	101:0|124:4000|604:6000	1021:10000	1001:10000
3113	1	3:10000	221:0|264:4000|602:6000	281:0|324:4000|604:6000	1161:10000	1141:10000
3114	1	3:10000	221:0|264:4000|602:6000	281:0|324:4000|604:6000	1161:10000	1141:10000
3115	1	3:10000	221:0|264:4000|602:6000	281:0|324:4000|604:6000	1161:10000	1141:10000
3116	1	3:10000	221:0|264:4000|602:6000	281:0|324:4000|604:6000	1161:10000	1141:10000
3117	1	3:10000	221:0|264:4000|602:6000	281:0|324:4000|604:6000	1161:10000	1141:10000
3091	2	3:10000	2:1000|44:5000|602:4000	101:1000|124:5000|604:4000	1021:10000	1001:10000
3092	2	3:10000	2:1000|44:5000|602:4000	101:1000|124:5000|604:4000	1021:10000	1001:10000
3093	2	3:10000	221:1000|264:5000|602:4000	281:1000|324:5000|604:4000	1161:10000	1141:10000
3094	2	3:10000	221:1000|264:5000|602:4000	281:1000|324:5000|604:4000	1161:10000	1141:10000
3095	2	3:10000	221:1000|264:5000|602:4000	281:1000|324:5000|604:4000	1161:10000	1141:10000
3096	2	3:10000	221:1000|264:5000|602:4000	281:1000|324:5000|604:4000	1161:10000	1141:10000
3097	2	3:10000	221:1000|264:5000|602:4000	281:1000|324:5000|604:4000	1161:10000	1141:10000
3101	2	3:10000	2:1000|44:5000|602:4000	101:1000|124:5000|604:4000	1021:10000	1001:10000
3102	2	3:10000	2:1000|44:5000|602:4000	101:1000|124:5000|604:4000	1021:10000	1001:10000
3103	2	3:10000	221:1000|264:5000|602:4000	281:1000|324:5000|604:4000	1161:10000	1141:10000
3104	2	3:10000	221:1000|264:5000|602:4000	281:1000|324:5000|604:4000	1161:10000	1141:10000
3105	2	3:10000	221:1000|264:5000|602:4000	281:1000|324:5000|604:4000	1161:10000	1141:10000
3106	2	3:10000	221:1000|264:5000|602:4000	281:1000|324:5000|604:4000	1161:10000	1141:10000
3107	2	3:10000	221:1000|264:5000|602:4000	281:1000|324:5000|604:4000	1161:10000	1141:10000
3111	2	3:10000	2:1000|44:5000|602:4000	101:1000|124:5000|604:4000	1021:10000	1001:10000
3112	2	3:10000	2:1000|44:5000|602:4000	101:1000|124:5000|604:4000	1021:10000	1001:10000
3113	2	3:10000	221:1000|264:5000|602:4000	281:1000|324:5000|604:4000	1161:10000	1141:10000
3114	2	3:10000	221:1000|264:5000|602:4000	281:1000|324:5000|604:4000	1161:10000	1141:10000
3115	2	3:10000	221:1000|264:5000|602:4000	281:1000|324:5000|604:4000	1161:10000	1141:10000
3116	2	3:10000	221:1000|264:5000|602:4000	281:1000|324:5000|604:4000	1161:10000	1141:10000
3117	2	3:10000	221:1000|264:5000|602:4000	281:1000|324:5000|604:4000	1161:10000	1141:10000
3091	3	3:10000	2:2000|44:6000|602:2000	101:2000|124:6000|604:2000	1021:10000	1001:10000
3092	3	3:10000	2:2000|44:6000|602:2000	101:2000|124:6000|604:2000	1021:10000	1001:10000
3093	3	3:10000	221:2000|264:6000|602:2000	281:2000|324:6000|604:2000	1161:10000	1141:10000
3094	3	3:10000	221:2000|264:6000|602:2000	281:2000|324:6000|604:2000	1161:10000	1141:10000
3095	3	3:10000	221:2000|264:6000|602:2000	281:2000|324:6000|604:2000	1161:10000	1141:10000
3096	3	3:10000	221:2000|264:6000|602:2000	281:2000|324:6000|604:2000	1161:10000	1141:10000
3097	3	3:10000	221:2000|264:6000|602:2000	281:2000|324:6000|604:2000	1161:10000	1141:10000
3101	3	3:10000	2:2000|44:6000|602:2000	101:2000|124:6000|604:2000	1021:10000	1001:10000
3102	3	3:10000	2:2000|44:6000|602:2000	101:2000|124:6000|604:2000	1021:10000	1001:10000
3103	3	3:10000	221:2000|264:6000|602:2000	281:2000|324:6000|604:2000	1161:10000	1141:10000
3104	3	3:10000	221:2000|264:6000|602:2000	281:2000|324:6000|604:2000	1161:10000	1141:10000
3105	3	3:10000	221:2000|264:6000|602:2000	281:2000|324:6000|604:2000	1161:10000	1141:10000
3106	3	3:10000	221:2000|264:6000|602:2000	281:2000|324:6000|604:2000	1161:10000	1141:10000
3107	3	3:10000	221:2000|264:6000|602:2000	281:2000|324:6000|604:2000	1161:10000	1141:10000
3111	3	3:10000	2:2000|44:6000|602:2000	101:2000|124:6000|604:2000	1021:10000	1001:10000
3112	3	3:10000	2:2000|44:6000|602:2000	101:2000|124:6000|604:2000	1021:10000	1001:10000
3113	3	3:10000	221:2000|264:6000|602:2000	281:2000|324:6000|604:2000	1161:10000	1141:10000
3114	3	3:10000	221:2000|264:6000|602:2000	281:2000|324:6000|604:2000	1161:10000	1141:10000
3115	3	3:10000	221:2000|264:6000|602:2000	281:2000|324:6000|604:2000	1161:10000	1141:10000
3116	3	3:10000	221:2000|264:6000|602:2000	281:2000|324:6000|604:2000	1161:10000	1141:10000
3117	3	3:10000	221:2000|264:6000|602:2000	281:2000|324:6000|604:2000	1161:10000	1141:10000
3091	4	3:10000	2:3000|44:7000|602:0	101:3000|124:7000|604:0	1021:10000	1001:10000
3092	4	3:10000	2:3000|44:7000|602:0	101:3000|124:7000|604:0	1021:10000	1001:10000
3093	4	3:10000	221:3000|264:7000|602:0	281:3000|324:7000|604:0	1161:10000	1141:10000
3094	4	3:10000	221:3000|264:7000|602:0	281:3000|324:7000|604:0	1161:10000	1141:10000
3095	4	3:10000	221:3000|264:7000|602:0	281:3000|324:7000|604:0	1161:10000	1141:10000
3096	4	3:10000	221:3000|264:7000|602:0	281:3000|324:7000|604:0	1161:10000	1141:10000
3097	4	3:10000	221:3000|264:7000|602:0	281:3000|324:7000|604:0	1161:10000	1141:10000
3101	4	3:10000	2:3000|44:7000|602:0	101:3000|124:7000|604:0	1021:10000	1001:10000
3102	4	3:10000	2:3000|44:7000|602:0	101:3000|124:7000|604:0	1021:10000	1001:10000
3103	4	3:10000	221:3000|264:7000|602:0	281:3000|324:7000|604:0	1161:10000	1141:10000
3104	4	3:10000	221:3000|264:7000|602:0	281:3000|324:7000|604:0	1161:10000	1141:10000
3105	4	3:10000	221:3000|264:7000|602:0	281:3000|324:7000|604:0	1161:10000	1141:10000
3106	4	3:10000	221:3000|264:7000|602:0	281:3000|324:7000|604:0	1161:10000	1141:10000
3107	4	3:10000	221:3000|264:7000|602:0	281:3000|324:7000|604:0	1161:10000	1141:10000
3111	4	3:10000	2:3000|44:7000|602:0	101:3000|124:7000|604:0	1021:10000	1001:10000
3112	4	3:10000	2:3000|44:7000|602:0	101:3000|124:7000|604:0	1021:10000	1001:10000
3113	4	3:10000	221:3000|264:7000|602:0	281:3000|324:7000|604:0	1161:10000	1141:10000
3114	4	3:10000	221:3000|264:7000|602:0	281:3000|324:7000|604:0	1161:10000	1141:10000
3115	4	3:10000	221:3000|264:7000|602:0	281:3000|324:7000|604:0	1161:10000	1141:10000
3116	4	3:10000	221:3000|264:7000|602:0	281:3000|324:7000|604:0	1161:10000	1141:10000
3117	4	3:10000	221:3000|264:7000|602:0	281:3000|324:7000|604:0	1161:10000	1141:10000
3091	5	4:10000	2:10000|44:0|602:0	101:10000|124:0|604:0	1021:10000	1001:10000
3092	5	4:10000	2:10000|44:0|602:0	101:10000|124:0|604:0	1021:10000	1001:10000
3093	5	4:10000	221:10000|264:0|602:0	281:10000|324:0|604:0	1161:10000	1141:10000
3094	5	4:10000	221:10000|264:0|602:0	281:10000|324:0|604:0	1161:10000	1141:10000
3095	5	4:10000	221:10000|264:0|602:0	281:10000|324:0|604:0	1161:10000	1141:10000
3096	5	4:10000	221:10000|264:0|602:0	281:10000|324:0|604:0	1161:10000	1141:10000
3097	5	4:10000	221:10000|264:0|602:0	281:10000|324:0|604:0	1161:10000	1141:10000
3101	5	4:10000	2:10000|44:0|602:0	101:10000|124:0|604:0	1021:10000	1001:10000
3102	5	4:10000	2:10000|44:0|602:0	101:10000|124:0|604:0	1021:10000	1001:10000
3103	5	4:10000	221:10000|264:0|602:0	281:10000|324:0|604:0	1161:10000	1141:10000
3104	5	4:10000	221:10000|264:0|602:0	281:10000|324:0|604:0	1161:10000	1141:10000
3105	5	4:10000	221:10000|264:0|602:0	281:10000|324:0|604:0	1161:10000	1141:10000
3106	5	4:10000	221:10000|264:0|602:0	281:10000|324:0|604:0	1161:10000	1141:10000
3107	5	4:10000	221:10000|264:0|602:0	281:10000|324:0|604:0	1161:10000	1141:10000
3111	5	4:10000	2:10000|44:0|602:0	101:10000|124:0|604:0	1021:10000	1001:10000
3112	5	4:10000	2:10000|44:0|602:0	101:10000|124:0|604:0	1021:10000	1001:10000
3113	5	4:10000	221:10000|264:0|602:0	281:10000|324:0|604:0	1161:10000	1141:10000
3114	5	4:10000	221:10000|264:0|602:0	281:10000|324:0|604:0	1161:10000	1141:10000
3115	5	4:10000	221:10000|264:0|602:0	281:10000|324:0|604:0	1161:10000	1141:10000
3116	5	4:10000	221:10000|264:0|602:0	281:10000|324:0|604:0	1161:10000	1141:10000
3117	5	4:10000	221:10000|264:0|602:0	281:10000|324:0|604:0	1161:10000	1141:10000
2121	1	1:10000	1:0|25:0|601:10000	101:0|125:0|604:10000	-1	-1
2122	1	1:10000	1:0|25:0|601:10000	101:0|125:0|604:10000	-1	-1
2123	1	1:10000	201:0|245:0|601:10000	281:0|325:0|604:10000	-1	-1
2124	1	1:10000	201:0|245:0|601:10000	281:0|325:0|604:10000	-1	-1
2125	1	1:10000	201:0|245:0|601:10000	281:0|325:0|604:10000	-1	-1
2126	1	1:10000	201:0|245:0|601:10000	281:0|325:0|604:10000	-1	-1
2127	1	1:10000	201:0|245:0|601:10000	281:0|325:0|604:10000	-1	-1
2131	1	1:10000	1:0|25:0|601:10000	101:0|125:0|604:10000	-1	-1
2132	1	1:10000	1:0|25:0|601:10000	101:0|125:0|604:10000	-1	-1
2133	1	1:10000	201:0|245:0|601:10000	281:0|325:0|604:10000	-1	-1
2134	1	1:10000	201:0|245:0|601:10000	281:0|325:0|604:10000	-1	-1
2135	1	1:10000	201:0|245:0|601:10000	281:0|325:0|604:10000	-1	-1
2136	1	1:10000	201:0|245:0|601:10000	281:0|325:0|604:10000	-1	-1
2137	1	1:10000	201:0|245:0|601:10000	281:0|325:0|604:10000	-1	-1
2141	1	1:10000	1:0|25:0|601:10000	101:0|125:0|604:10000	-1	-1
2142	1	1:10000	1:0|25:0|601:10000	101:0|125:0|604:10000	-1	-1
2143	1	1:10000	201:0|245:0|601:10000	281:0|325:0|604:10000	-1	-1
2144	1	1:10000	201:0|245:0|601:10000	281:0|325:0|604:10000	-1	-1
2145	1	1:10000	201:0|245:0|601:10000	281:0|325:0|604:10000	-1	-1
2146	1	1:10000	201:0|245:0|601:10000	281:0|325:0|604:10000	-1	-1
2147	1	1:10000	201:0|245:0|601:10000	281:0|325:0|604:10000	-1	-1
2121	2	1:10000	1:0|25:10000|601:0	101:0|125:10000|604:0	-1	-1
2122	2	1:10000	1:0|25:10000|601:0	101:0|125:10000|604:0	-1	-1
2123	2	1:10000	201:0|245:10000|601:0	281:0|325:10000|604:0	-1	-1
2124	2	1:10000	201:0|245:10000|601:0	281:0|325:10000|604:0	-1	-1
2125	2	1:10000	201:0|245:10000|601:0	281:0|325:10000|604:0	-1	-1
2126	2	1:10000	201:0|245:10000|601:0	281:0|325:10000|604:0	-1	-1
2127	2	1:10000	201:0|245:10000|601:0	281:0|325:10000|604:0	-1	-1
2131	2	1:10000	1:0|25:10000|601:0	101:0|125:10000|604:0	-1	-1
2132	2	1:10000	1:0|25:10000|601:0	101:0|125:10000|604:0	-1	-1
2133	2	1:10000	201:0|245:10000|601:0	281:0|325:10000|604:0	-1	-1
