INT	INT	INT	INT	INT	STRING	INT	INT	STRING	STRING	STRING	STRING	INT	STRING	STRING	INT	INT	INT	STRING	INT	INT
79	4	4	4	4	1:187706|4:1609|5:4071|6:1856|7:3741	11050	4	四品·极品武魂[卓越]	669	669	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|135'>前往</a></u></font>	10	-1	#f7ab00|【极品武魂】|n|#debc6a|只能装备到|#00ff00|四品·极品武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|前面的|#00ff00|15|#debc6a|个武魂需要全部装备好，才有资格穿戴极品武魂|n|#debc6a|普通武魂的|#00ff00|最低品质|#debc6a|决定了可以穿戴极品武魂的品质	-1	999	100	#ff3399|四品·极品武魂[卓越]	6	500
80	4	4	5	5	1:300329|4:2575|5:6514|6:2970|7:5985	11050	5	四品·极品武魂[完美]	669	669	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|136'>前往</a></u></font>	10	-1	#f7ab00|【极品武魂】|n|#debc6a|只能装备到|#00ff00|四品·极品武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|前面的|#00ff00|15|#debc6a|个武魂需要全部装备好，才有资格穿戴极品武魂|n|#debc6a|普通武魂的|#00ff00|最低品质|#debc6a|决定了可以穿戴极品武魂的品质	-1	999	100	#e60012|四品·极品武魂[完美]	7	500
81	5	1	1	0	1:46347	-1	-1	五品·生命武魂[普通]	643	643	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|117'>前往</a></u></font>	-1	-1	#f7ab00|【生命武魂】|n|#debc6a|只能装备到|#00ff00|五品·生命武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#00afec|五品·生命武魂[普通]	3	600
82	5	1	2	0	1:69521	-1	-1	五品·生命武魂[良好]	643	643	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|118'>前往</a></u></font>	-1	-1	#f7ab00|【生命武魂】|n|#debc6a|只能装备到|#00ff00|五品·生命武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#a54bfa|五品·生命武魂[良好]	4	600
83	5	1	3	0	1:104281	-1	-1	五品·生命武魂[优秀]	643	643	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|119'>前往</a></u></font>	-1	-1	#f7ab00|【生命武魂】|n|#debc6a|只能装备到|#00ff00|五品·生命武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#f7ab00|五品·生命武魂[优秀]	5	600
84	5	1	4	0	1:156421	-1	-1	五品·生命武魂[卓越]	643	643	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|120'>前往</a></u></font>	-1	-1	#f7ab00|【生命武魂】|n|#debc6a|只能装备到|#00ff00|五品·生命武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#ff3399|五品·生命武魂[卓越]	6	600
85	5	1	5	0	1:234632	-1	-1	五品·生命武魂[完美]	643	643	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|121'>前往</a></u></font>	-1	-1	#f7ab00|【生命武魂】|n|#debc6a|只能装备到|#00ff00|五品·生命武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#e60012|五品·生命武魂[完美]	7	600
86	5	2	1	0	4:381|5:965	-1	-1	五品·攻击武魂[普通]	644	644	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|122'>前往</a></u></font>	-1	-1	#f7ab00|【攻击武魂】|n|#debc6a|只能装备到|#00ff00|五品·攻击武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#00afec|五品·攻击武魂[普通]	3	600
87	5	2	2	0	4:572|5:1448	-1	-1	五品·攻击武魂[良好]	644	644	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|123'>前往</a></u></font>	-1	-1	#f7ab00|【攻击武魂】|n|#debc6a|只能装备到|#00ff00|五品·攻击武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#a54bfa|五品·攻击武魂[良好]	4	600
88	5	2	3	0	4:858|5:2171	-1	-1	五品·攻击武魂[优秀]	644	644	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|124'>前往</a></u></font>	-1	-1	#f7ab00|【攻击武魂】|n|#debc6a|只能装备到|#00ff00|五品·攻击武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#f7ab00|五品·攻击武魂[优秀]	5	600
89	5	2	4	0	4:1287|5:3257	-1	-1	五品·攻击武魂[卓越]	644	644	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|125'>前往</a></u></font>	-1	-1	#f7ab00|【攻击武魂】|n|#debc6a|只能装备到|#00ff00|五品·攻击武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#ff3399|五品·攻击武魂[卓越]	6	600
90	5	2	5	0	4:1931|5:4885	-1	-1	五品·攻击武魂[完美]	644	644	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|126'>前往</a></u></font>	-1	-1	#f7ab00|【攻击武魂】|n|#debc6a|只能装备到|#00ff00|五品·攻击武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#e60012|五品·攻击武魂[完美]	7	600
91	5	3	1	0	6:440|7:887	-1	-1	五品·防御武魂[普通]	645	645	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|127'>前往</a></u></font>	-1	-1	#f7ab00|【防御武魂】|n|#debc6a|只能装备到|#00ff00|五品·防御武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#00afec|五品·防御武魂[普通]	3	600
92	5	3	2	0	6:660|7:1330	-1	-1	五品·防御武魂[良好]	645	645	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|128'>前往</a></u></font>	-1	-1	#f7ab00|【防御武魂】|n|#debc6a|只能装备到|#00ff00|五品·防御武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#a54bfa|五品·防御武魂[良好]	4	600
93	5	3	3	0	6:990|7:1995	-1	-1	五品·防御武魂[优秀]	645	645	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|129'>前往</a></u></font>	-1	-1	#f7ab00|【防御武魂】|n|#debc6a|只能装备到|#00ff00|五品·防御武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#f7ab00|五品·防御武魂[优秀]	5	600
94	5	3	4	0	6:1485|7:2992	-1	-1	五品·防御武魂[卓越]	645	645	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|130'>前往</a></u></font>	-1	-1	#f7ab00|【防御武魂】|n|#debc6a|只能装备到|#00ff00|五品·防御武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#ff3399|五品·防御武魂[卓越]	6	600
95	5	3	5	0	6:2227|7:4489	-1	-1	五品·防御武魂[完美]	645	645	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|131'>前往</a></u></font>	-1	-1	#f7ab00|【防御武魂】|n|#debc6a|只能装备到|#00ff00|五品·防御武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#e60012|五品·防御武魂[完美]	7	600
96	5	4	1	1	1:97763|4:838|5:2120|6:967|7:1948	11060	1	五品·极品武魂[普通]	670	670	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|132'>前往</a></u></font>	10	-1	#f7ab00|【极品武魂】|n|#debc6a|只能装备到|#00ff00|五品·极品武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|前面的|#00ff00|15|#debc6a|个武魂需要全部装备好，才有资格穿戴极品武魂|n|#debc6a|普通武魂的|#00ff00|最低品质|#debc6a|决定了可以穿戴极品武魂的品质	-1	999	100	#00afec|五品·极品武魂[普通]	3	600
97	5	4	2	2	1:146645|4:1257|5:3181|6:1450|7:2922	11060	2	五品·极品武魂[良好]	670	670	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|133'>前往</a></u></font>	10	-1	#f7ab00|【极品武魂】|n|#debc6a|只能装备到|#00ff00|五品·极品武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|前面的|#00ff00|15|#debc6a|个武魂需要全部装备好，才有资格穿戴极品武魂|n|#debc6a|普通武魂的|#00ff00|最低品质|#debc6a|决定了可以穿戴极品武魂的品质	-1	999	100	#a54bfa|五品·极品武魂[良好]	4	600
98	5	4	3	3	1:234632|4:2012|5:5089|6:2320|7:4676	11060	3	五品·极品武魂[优秀]	670	670	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|134'>前往</a></u></font>	10	-1	#f7ab00|【极品武魂】|n|#debc6a|只能装备到|#00ff00|五品·极品武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|前面的|#00ff00|15|#debc6a|个武魂需要全部装备好，才有资格穿戴极品武魂|n|#debc6a|普通武魂的|#00ff00|最低品质|#debc6a|决定了可以穿戴极品武魂的品质	-1	999	100	#f7ab00|五品·极品武魂[优秀]	5	600
99	5	4	4	4	1:375411|4:3219|5:8142|6:3712|7:7481	11060	4	五品·极品武魂[卓越]	670	670	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|135'>前往</a></u></font>	10	-1	#f7ab00|【极品武魂】|n|#debc6a|只能装备到|#00ff00|五品·极品武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|前面的|#00ff00|15|#debc6a|个武魂需要全部装备好，才有资格穿戴极品武魂|n|#debc6a|普通武魂的|#00ff00|最低品质|#debc6a|决定了可以穿戴极品武魂的品质	-1	999	100	#ff3399|五品·极品武魂[卓越]	6	600
100	5	4	5	5	1:600658|4:5150|5:13028|6:5940|7:11970	11060	5	五品·极品武魂[完美]	670	670	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|136'>前往</a></u></font>	10	-1	#f7ab00|【极品武魂】|n|#debc6a|只能装备到|#00ff00|五品·极品武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|前面的|#00ff00|15|#debc6a|个武魂需要全部装备好，才有资格穿戴极品武魂|n|#debc6a|普通武魂的|#00ff00|最低品质|#debc6a|决定了可以穿戴极品武魂的品质	-1	999	100	#e60012|五品·极品武魂[完美]	7	600
1000	1	1	5	0	？？？？？？	-1	-1	一品·生命武魂[随机]	651	651	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|136'>前往</a></u></font>	-1	-1	#f7ab00|【生命武魂】|n|#debc6a|武魂制作会随机制作成不同品质的武魂|n|#debc6a|武魂品质: |#00afec|普通|#f5e8bf|＜|#a54bfa|良好|#f5e8bf|＜|#f7ab00|优秀|#f5e8bf|＜|#ff3399|卓越|#f5e8bf|＜|#e60012|完美|n|#debc6a|武魂品质越高，属性增加越多	-1	-1	-1	-1	7	200
1001	2	1	5	0	？？？？？？	-1	-1	二品·生命武魂[随机]	654	654	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|137'>前往</a></u></font>	-1	-1	#f7ab00|【生命武魂】|n|#debc6a|武魂制作会随机制作成不同品质的武魂|n|#debc6a|武魂品质: |#00afec|普通|#f5e8bf|＜|#a54bfa|良好|#f5e8bf|＜|#f7ab00|优秀|#f5e8bf|＜|#ff3399|卓越|#f5e8bf|＜|#e60012|完美|n|#debc6a|武魂品质越高，属性增加越多	-1	-1	-1	-1	7	300
1002	3	1	5	0	？？？？？？	-1	-1	三品·生命武魂[随机]	657	657	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|138'>前往</a></u></font>	-1	-1	#f7ab00|【生命武魂】|n|#debc6a|武魂制作会随机制作成不同品质的武魂|n|#debc6a|武魂品质: |#00afec|普通|#f5e8bf|＜|#a54bfa|良好|#f5e8bf|＜|#f7ab00|优秀|#f5e8bf|＜|#ff3399|卓越|#f5e8bf|＜|#e60012|完美|n|#debc6a|武魂品质越高，属性增加越多	-1	-1	-1	-1	7	400
1003	4	1	5	0	？？？？？？	-1	-1	四品·生命武魂[随机]	660	660	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|139'>前往</a></u></font>	-1	-1	#f7ab00|【生命武魂】|n|#debc6a|武魂制作会随机制作成不同品质的武魂|n|#debc6a|武魂品质: |#00afec|普通|#f5e8bf|＜|#a54bfa|良好|#f5e8bf|＜|#f7ab00|优秀|#f5e8bf|＜|#ff3399|卓越|#f5e8bf|＜|#e60012|完美|n|#debc6a|武魂品质越高，属性增加越多	-1	-1	-1	-1	7	500
1004	5	1	5	0	？？？？？？	-1	-1	五品·生命武魂[随机]	663	663	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|140'>前往</a></u></font>	-1	-1	#f7ab00|【生命武魂】|n|#debc6a|武魂制作会随机制作成不同品质的武魂|n|#debc6a|武魂品质: |#00afec|普通|#f5e8bf|＜|#a54bfa|良好|#f5e8bf|＜|#f7ab00|优秀|#f5e8bf|＜|#ff3399|卓越|#f5e8bf|＜|#e60012|完美|n|#debc6a|武魂品质越高，属性增加越多	-1	-1	-1	-1	7	600
1005	1	2	5	0	？？？？？？	-1	-1	一品·攻击武魂[随机]	652	652	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|122'>前往</a></u></font>	-1	-1	#f7ab00|【攻击武魂】|n|#debc6a|武魂制作会随机制作成不同品质的武魂|n|#debc6a|武魂品质: |#00afec|普通|#f5e8bf|＜|#a54bfa|良好|#f5e8bf|＜|#f7ab00|优秀|#f5e8bf|＜|#ff3399|卓越|#f5e8bf|＜|#e60012|完美|n|#debc6a|武魂品质越高，属性增加越多	-1	-1	-1	-1	7	200
1006	2	2	5	0	？？？？？？	-1	-1	二品·攻击武魂[随机]	655	655	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|122'>前往</a></u></font>	-1	-1	#f7ab00|【攻击武魂】|n|#debc6a|武魂制作会随机制作成不同品质的武魂|n|#debc6a|武魂品质: |#00afec|普通|#f5e8bf|＜|#a54bfa|良好|#f5e8bf|＜|#f7ab00|优秀|#f5e8bf|＜|#ff3399|卓越|#f5e8bf|＜|#e60012|完美|n|#debc6a|武魂品质越高，属性增加越多	-1	-1	-1	-1	7	300
1007	3	2	5	0	？？？？？？	-1	-1	三品·攻击武魂[随机]	658	658	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|122'>前往</a></u></font>	-1	-1	#f7ab00|【攻击武魂】|n|#debc6a|武魂制作会随机制作成不同品质的武魂|n|#debc6a|武魂品质: |#00afec|普通|#f5e8bf|＜|#a54bfa|良好|#f5e8bf|＜|#f7ab00|优秀|#f5e8bf|＜|#ff3399|卓越|#f5e8bf|＜|#e60012|完美|n|#debc6a|武魂品质越高，属性增加越多	-1	-1	-1	-1	7	400
1008	4	2	5	0	？？？？？？	-1	-1	四品·攻击武魂[随机]	661	661	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|122'>前往</a></u></font>	-1	-1	#f7ab00|【攻击武魂】|n|#debc6a|武魂制作会随机制作成不同品质的武魂|n|#debc6a|武魂品质: |#00afec|普通|#f5e8bf|＜|#a54bfa|良好|#f5e8bf|＜|#f7ab00|优秀|#f5e8bf|＜|#ff3399|卓越|#f5e8bf|＜|#e60012|完美|n|#debc6a|武魂品质越高，属性增加越多	-1	-1	-1	-1	7	500
1009	5	2	5	0	？？？？？？	-1	-1	五品·攻击武魂[随机]	664	664	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|122'>前往</a></u></font>	-1	-1	#f7ab00|【攻击武魂】|n|#debc6a|武魂制作会随机制作成不同品质的武魂|n|#debc6a|武魂品质: |#00afec|普通|#f5e8bf|＜|#a54bfa|良好|#f5e8bf|＜|#f7ab00|优秀|#f5e8bf|＜|#ff3399|卓越|#f5e8bf|＜|#e60012|完美|n|#debc6a|武魂品质越高，属性增加越多	-1	-1	-1	-1	7	600
1010	1	3	5	0	？？？？？？	-1	-1	一品·防御武魂[随机]	653	653	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|136'>前往</a></u></font>	-1	-1	#f7ab00|【防御武魂】|n|#debc6a|武魂制作会随机制作成不同品质的武魂|n|#debc6a|武魂品质: |#00afec|普通|#f5e8bf|＜|#a54bfa|良好|#f5e8bf|＜|#f7ab00|优秀|#f5e8bf|＜|#ff3399|卓越|#f5e8bf|＜|#e60012|完美|n|#debc6a|武魂品质越高，属性增加越多	-1	-1	-1	-1	7	200
1011	2	3	5	0	？？？？？？	-1	-1	二品·防御武魂[随机]	656	656	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|137'>前往</a></u></font>	-1	-1	#f7ab00|【防御武魂】|n|#debc6a|武魂制作会随机制作成不同品质的武魂|n|#debc6a|武魂品质: |#00afec|普通|#f5e8bf|＜|#a54bfa|良好|#f5e8bf|＜|#f7ab00|优秀|#f5e8bf|＜|#ff3399|卓越|#f5e8bf|＜|#e60012|完美|n|#debc6a|武魂品质越高，属性增加越多	-1	-1	-1	-1	7	300
1012	3	3	5	0	？？？？？？	-1	-1	三品·防御武魂[随机]	659	659	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|138'>前往</a></u></font>	-1	-1	#f7ab00|【防御武魂】|n|#debc6a|武魂制作会随机制作成不同品质的武魂|n|#debc6a|武魂品质: |#00afec|普通|#f5e8bf|＜|#a54bfa|良好|#f5e8bf|＜|#f7ab00|优秀|#f5e8bf|＜|#ff3399|卓越|#f5e8bf|＜|#e60012|完美|n|#debc6a|武魂品质越高，属性增加越多	-1	-1	-1	-1	7	400
1013	4	3	5	0	？？？？？？	-1	-1	四品·防御武魂[随机]	662	662	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|139'>前往</a></u></font>	-1	-1	#f7ab00|【防御武魂】|n|#debc6a|武魂制作会随机制作成不同品质的武魂|n|#debc6a|武魂品质: |#00afec|普通|#f5e8bf|＜|#a54bfa|良好|#f5e8bf|＜|#f7ab00|优秀|#f5e8bf|＜|#ff3399|卓越|#f5e8bf|＜|#e60012|完美|n|#debc6a|武魂品质越高，属性增加越多	-1	-1	-1	-1	7	500
1014	5	3	5	0	？？？？？？	-1	-1	五品·防御武魂[随机]	665	665	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|140'>前往</a></u></font>	-1	-1	#f7ab00|【防御武魂】|n|#debc6a|武魂制作会随机制作成不同品质的武魂|n|#debc6a|武魂品质: |#00afec|普通|#f5e8bf|＜|#a54bfa|良好|#f5e8bf|＜|#f7ab00|优秀|#f5e8bf|＜|#ff3399|卓越|#f5e8bf|＜|#e60012|完美|n|#debc6a|武魂品质越高，属性增加越多	-1	-1	-1	-1	7	600
1015	1	4	5	0	？？？？？？	-1	-1	一品·极品武魂[随机]	646	646	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|141'>前往</a></u></font>	-1	-1	#f7ab00|【极品武魂】|n|#debc6a|武魂制作会随机制作成不同品质的武魂|n|#debc6a|武魂品质: |#00afec|普通|#f5e8bf|＜|#a54bfa|良好|#f5e8bf|＜|#f7ab00|优秀|#f5e8bf|＜|#ff3399|卓越|#f5e8bf|＜|#e60012|完美|n|#debc6a|武魂品质越高，属性增加越多	-1	-1	-1	-1	7	200
