INT	STRING	INT	STRING	STRING	STRING	INT	STRING
3581	鬼影爪	1	物理	#debc6a|拉BOSS专用技能，从地底召唤出一个鬼爪吸引BOSS攻击自己。\n|#debc6a|每秒减少|#00ff00|攻击的10%|#debc6a|生命并降低对方|#00ff00|2%|#debc6a|防御，持续11秒。	#debc6a|拉BOSS专用技能，从地底召唤出一个鬼爪吸引BOSS攻击自己。\n|#debc6a|每秒减少|#00ff00|攻击的10.5%|#debc6a|生命并降低对方|#00ff00|4%|#debc6a|防御，持续12秒。	141	-1
3582	鬼影爪	1	物理	#debc6a|拉BOSS专用技能，从地底召唤出一个鬼爪吸引BOSS攻击自己。\n|#debc6a|每秒减少|#00ff00|攻击的10.5%|#debc6a|生命并降低对方|#00ff00|4%|#debc6a|防御，持续12秒。	#debc6a|拉BOSS专用技能，从地底召唤出一个鬼爪吸引BOSS攻击自己。\n|#debc6a|每秒减少|#00ff00|攻击的11%|#debc6a|生命并降低对方|#00ff00|6%|#debc6a|防御，持续13秒。	141	-1
3583	鬼影爪	1	物理	#debc6a|拉BOSS专用技能，从地底召唤出一个鬼爪吸引BOSS攻击自己。\n|#debc6a|每秒减少|#00ff00|攻击的11%|#debc6a|生命并降低对方|#00ff00|6%|#debc6a|防御，持续13秒。	#debc6a|拉BOSS专用技能，从地底召唤出一个鬼爪吸引BOSS攻击自己。\n|#debc6a|每秒减少|#00ff00|攻击的11.5%|#debc6a|生命并降低对方|#00ff00|8%|#debc6a|防御，持续14秒。	141	-1
3584	鬼影爪	1	物理	#debc6a|拉BOSS专用技能，从地底召唤出一个鬼爪吸引BOSS攻击自己。\n|#debc6a|每秒减少|#00ff00|攻击的11.5%|#debc6a|生命并降低对方|#00ff00|8%|#debc6a|防御，持续14秒。	#debc6a|拉BOSS专用技能，从地底召唤出一个鬼爪吸引BOSS攻击自己。\n|#debc6a|每秒减少|#00ff00|攻击的12%|#debc6a|生命并降低对方|#00ff00|10%|#debc6a|防御，持续15秒。	141	-1
3585	鬼影爪	1	物理	#debc6a|拉BOSS专用技能，从地底召唤出一个鬼爪吸引BOSS攻击自己。\n|#debc6a|每秒减少|#00ff00|攻击的12%|#debc6a|生命并降低对方|#00ff00|10%|#debc6a|防御，持续15秒。	#debc6a|拉BOSS专用技能，从地底召唤出一个鬼爪吸引BOSS攻击自己。\n|#debc6a|每秒减少|#00ff00|攻击的12.5%|#debc6a|生命并降低对方|#00ff00|12%|#debc6a|防御，持续16秒。	141	-1
3586	鬼影爪	1	物理	#debc6a|拉BOSS专用技能，从地底召唤出一个鬼爪吸引BOSS攻击自己。\n|#debc6a|每秒减少|#00ff00|攻击的12.5%|#debc6a|生命并降低对方|#00ff00|12%|#debc6a|防御，持续16秒。	#debc6a|拉BOSS专用技能，从地底召唤出一个鬼爪吸引BOSS攻击自己。\n|#debc6a|每秒减少|#00ff00|攻击的13%|#debc6a|生命并降低对方|#00ff00|14%|#debc6a|防御，持续17秒。	141	-1
3587	鬼影爪	1	物理	#debc6a|拉BOSS专用技能，从地底召唤出一个鬼爪吸引BOSS攻击自己。\n|#debc6a|每秒减少|#00ff00|攻击的13%|#debc6a|生命并降低对方|#00ff00|14%|#debc6a|防御，持续17秒。	#debc6a|拉BOSS专用技能，从地底召唤出一个鬼爪吸引BOSS攻击自己。\n|#debc6a|每秒减少|#00ff00|攻击的13.5%|#debc6a|生命并降低对方|#00ff00|16%|#debc6a|防御，持续18秒。	141	-1
3588	鬼影爪	1	物理	#debc6a|拉BOSS专用技能，从地底召唤出一个鬼爪吸引BOSS攻击自己。\n|#debc6a|每秒减少|#00ff00|攻击的13.5%|#debc6a|生命并降低对方|#00ff00|16%|#debc6a|防御，持续18秒。	#debc6a|拉BOSS专用技能，从地底召唤出一个鬼爪吸引BOSS攻击自己。\n|#debc6a|每秒减少|#00ff00|攻击的14%|#debc6a|生命并降低对方|#00ff00|18%|#debc6a|防御，持续19秒。	141	-1
3589	鬼影爪	1	物理	#debc6a|拉BOSS专用技能，从地底召唤出一个鬼爪吸引BOSS攻击自己。\n|#debc6a|每秒减少|#00ff00|攻击的14%|#debc6a|生命并降低对方|#00ff00|18%|#debc6a|防御，持续19秒。	#debc6a|拉BOSS专用技能，从地底召唤出一个鬼爪吸引BOSS攻击自己。\n|#debc6a|每秒减少|#00ff00|攻击的15%|#debc6a|生命并降低对方|#00ff00|20%|#debc6a|防御，持续20秒。	141	-1
3590	鬼影爪	1	物理	#debc6a|拉BOSS专用技能，从地底召唤出一个鬼爪吸引BOSS攻击自己。\n|#debc6a|每秒减少|#00ff00|攻击的15%|#debc6a|生命并降低对方|#00ff00|20%|#debc6a|防御，持续20秒。	#debc6a|满级效果谁与争锋	141	-1
3601	圣体盾	1	物理	#00ff00|10%|#debc6a|减伤，抵抗|#00ff00|50%|#debc6a|隔月斩隔位破防，持续|#00ff00|120秒|#debc6a|。	#00ff00|11%|#debc6a|减伤，抵抗|#00ff00|50%|#debc6a|隔月斩隔位破防，持续|#00ff00|130秒|#debc6a|。	102	-1
3602	圣体盾	1	物理	#00ff00|11%|#debc6a|减伤，抵抗|#00ff00|50%|#debc6a|隔月斩隔位破防，持续|#00ff00|130秒|#debc6a|。	#00ff00|12%|#debc6a|减伤，抵抗|#00ff00|50%|#debc6a|隔月斩隔位破防，持续|#00ff00|140秒|#debc6a|。	102	-1
3603	圣体盾	1	物理	#00ff00|12%|#debc6a|减伤，抵抗|#00ff00|50%|#debc6a|隔月斩隔位破防，持续|#00ff00|140秒|#debc6a|。	#00ff00|13%|#debc6a|减伤，抵抗|#00ff00|50%|#debc6a|隔月斩隔位破防，持续|#00ff00|150秒|#debc6a|。	102	-1
3604	圣体盾	1	物理	#00ff00|13%|#debc6a|减伤，抵抗|#00ff00|50%|#debc6a|隔月斩隔位破防，持续|#00ff00|150秒|#debc6a|。	#00ff00|15%|#debc6a|减伤，抵抗|#00ff00|50%|#debc6a|隔月斩隔位破防，持续|#00ff00|170秒|#debc6a|。	102	-1
3605	圣体盾	1	物理	#00ff00|15%|#debc6a|减伤，抵抗|#00ff00|50%|#debc6a|隔月斩隔位破防，持续|#00ff00|170秒|#debc6a|。	#00ff00|17%|#debc6a|减伤，抵抗|#00ff00|50%|#debc6a|隔月斩隔位破防，持续|#00ff00|190秒|#debc6a|。	102	-1
3606	圣体盾	1	物理	#00ff00|17%|#debc6a|减伤，抵抗|#00ff00|50%|#debc6a|隔月斩隔位破防，持续|#00ff00|190秒|#debc6a|。	#00ff00|19%|#debc6a|减伤，抵抗|#00ff00|50%|#debc6a|隔月斩隔位破防，持续|#00ff00|210秒|#debc6a|。	102	-1
3607	圣体盾	1	物理	#00ff00|19%|#debc6a|减伤，抵抗|#00ff00|50%|#debc6a|隔月斩隔位破防，持续|#00ff00|210秒|#debc6a|。	#00ff00|22%|#debc6a|减伤，抵抗|#00ff00|50%|#debc6a|隔月斩隔位破防，持续|#00ff00|240秒|#debc6a|。	102	-1
3608	圣体盾	1	物理	#00ff00|22%|#debc6a|减伤，抵抗|#00ff00|50%|#debc6a|隔月斩隔位破防，持续|#00ff00|240秒|#debc6a|。	#00ff00|25%|#debc6a|减伤，抵抗|#00ff00|50%|#debc6a|隔月斩隔位破防，持续|#00ff00|270秒|#debc6a|。	102	-1
3609	圣体盾	1	物理	#00ff00|25%|#debc6a|减伤，抵抗|#00ff00|50%|#debc6a|隔月斩隔位破防，持续|#00ff00|270秒|#debc6a|。	#00ff00|30%|#debc6a|减伤，抵抗|#00ff00|50%|#debc6a|隔月斩隔位破防，持续|#00ff00|300秒|#debc6a|。	102	-1
3610	圣体盾	1	物理	#00ff00|30%|#debc6a|减伤，抵抗|#00ff00|50%|#debc6a|隔月斩隔位破防，持续|#00ff00|300秒|#debc6a|。	#debc6a|满级效果谁与争锋	102	-1
3621	飞天一剑	1	物理	#debc6a|魂魄的剑气凝视，对前方直线|#00ff00|4格|#debc6a|范围的敌人造成大量伤害。\n|#debc6a|依次造成|#00ff00|200%、230%、260%、290%|#debc6a|物理伤害。	#debc6a|魂魄的剑气凝视，对前方直线|#00ff00|4格|#debc6a|范围的敌人造成大量伤害。\n|#debc6a|依次造成|#00ff00|202%、232.3%、262.6%、292.9%|#debc6a|物理伤害。	5	-1
3622	飞天一剑	1	物理	#debc6a|魂魄的剑气凝视，对前方直线|#00ff00|4格|#debc6a|范围的敌人造成大量伤害。\n|#debc6a|依次造成|#00ff00|202%、232.3%、262.6%、292.9%|#debc6a|物理伤害。	#debc6a|魂魄的剑气凝视，对前方直线|#00ff00|4格|#debc6a|范围的敌人造成大量伤害。\n|#debc6a|依次造成|#00ff00|204%、234.6%、265.2%、295.8%|#debc6a|物理伤害。	5	-1
3623	飞天一剑	1	物理	#debc6a|魂魄的剑气凝视，对前方直线|#00ff00|4格|#debc6a|范围的敌人造成大量伤害。\n|#debc6a|依次造成|#00ff00|204%、234.6%、265.2%、295.8%|#debc6a|物理伤害。	#debc6a|魂魄的剑气凝视，对前方直线|#00ff00|4格|#debc6a|范围的敌人造成大量伤害。\n|#debc6a|依次造成|#00ff00|210%、241.5%、273%、304.5%|#debc6a|物理伤害。	5	-1
3624	飞天一剑	1	物理	#debc6a|魂魄的剑气凝视，对前方直线|#00ff00|4格|#debc6a|范围的敌人造成大量伤害。\n|#debc6a|依次造成|#00ff00|210%、241.5%、273%、304.5%|#debc6a|物理伤害。	#debc6a|魂魄的剑气凝视，对前方直线|#00ff00|4格|#debc6a|范围的敌人造成大量伤害。\n|#debc6a|依次造成|#00ff00|212%、243.8%、275.6%、307.4%|#debc6a|物理伤害。	5	-1
3625	飞天一剑	1	物理	#debc6a|魂魄的剑气凝视，对前方直线|#00ff00|4格|#debc6a|范围的敌人造成大量伤害。\n|#debc6a|依次造成|#00ff00|212%、243.8%、275.6%、307.4%|#debc6a|物理伤害。	#debc6a|魂魄的剑气凝视，对前方直线|#00ff00|4格|#debc6a|范围的敌人造成大量伤害。\n|#debc6a|依次造成|#00ff00|214%、246.1%、278.2%、310.3%|#debc6a|物理伤害。	5	-1
3626	飞天一剑	1	物理	#debc6a|魂魄的剑气凝视，对前方直线|#00ff00|4格|#debc6a|范围的敌人造成大量伤害。\n|#debc6a|依次造成|#00ff00|214%、246.1%、278.2%、310.3%|#debc6a|物理伤害。	#debc6a|魂魄的剑气凝视，对前方直线|#00ff00|4格|#debc6a|范围的敌人造成大量伤害。\n|#debc6a|依次造成|#00ff00|220%、253%、286%、319%|#debc6a|物理伤害。	5	-1
3627	飞天一剑	1	物理	#debc6a|魂魄的剑气凝视，对前方直线|#00ff00|4格|#debc6a|范围的敌人造成大量伤害。\n|#debc6a|依次造成|#00ff00|220%、253%、286%、319%|#debc6a|物理伤害。	#debc6a|魂魄的剑气凝视，对前方直线|#00ff00|4格|#debc6a|范围的敌人造成大量伤害。\n|#debc6a|依次造成|#00ff00|226%、259.9%、293.8%、327.7%|#debc6a|物理伤害。	5	-1
3628	飞天一剑	1	物理	#debc6a|魂魄的剑气凝视，对前方直线|#00ff00|4格|#debc6a|范围的敌人造成大量伤害。\n|#debc6a|依次造成|#00ff00|226%、259.9%、293.8%、327.7%|#debc6a|物理伤害。	#debc6a|魂魄的剑气凝视，对前方直线|#00ff00|4格|#debc6a|范围的敌人造成大量伤害。\n|#debc6a|依次造成|#00ff00|232%、266.8%、301.6%、336.4%|#debc6a|物理伤害。	5	-1
3629	飞天一剑	1	物理	#debc6a|魂魄的剑气凝视，对前方直线|#00ff00|4格|#debc6a|范围的敌人造成大量伤害。\n|#debc6a|依次造成|#00ff00|232%、266.8%、301.6%、336.4%|#debc6a|物理伤害。	#debc6a|魂魄的剑气凝视，对前方直线|#00ff00|4格|#debc6a|范围的敌人造成大量伤害。\n|#debc6a|依次造成|#00ff00|240%、276%、312%、348%|#debc6a|物理伤害。	5	-1
3630	飞天一剑	1	物理	#debc6a|魂魄的剑气凝视，对前方直线|#00ff00|4格|#debc6a|范围的敌人造成大量伤害。\n|#debc6a|依次造成|#00ff00|240%、276%、312%、348%|#debc6a|物理伤害。	#debc6a|满级效果谁与争锋	5	-1
3641	开天斩	1	物理	攻击目标，造成基础伤害100%的物理伤害	#00ff00|造成的伤害提升5%	6	-1
3642	开天斩	1	物理	攻击目标，造成基础伤害105%的物理伤害	#00ff00|造成的伤害提升5%	6	-1
3643	开天斩	1	物理	攻击目标，造成基础伤害110%的物理伤害	#00ff00|造成的伤害提升5%	6	-1
3644	开天斩	1	物理	攻击目标，造成基础伤害115%的物理伤害	#00ff00|造成的伤害提升5%	6	-1
3645	开天斩	1	物理	攻击目标，造成基础伤害120%的物理伤害	#00ff00|造成的伤害提升5%	6	-1
3646	开天斩	1	物理	攻击目标，造成基础伤害125%的物理伤害	#00ff00|造成的伤害提升5%	6	-1
3647	开天斩	1	物理	攻击目标，造成基础伤害130%的物理伤害	#00ff00|造成的伤害提升5%	6	-1
3648	开天斩	1	物理	攻击目标，造成基础伤害135%的物理伤害	#00ff00|造成的伤害提升5%	6	-1
3649	开天斩	1	物理	攻击目标，造成基础伤害140%的物理伤害	#00ff00|造成的伤害提升5%	6	-1
3650	开天斩	1	物理	攻击目标，造成基础伤害145%的物理伤害	#00ff00|造成的伤害提升5%	6	-1
3661	神威	2	物理	#debc6a|攻击神威值低于自己的玩家时，伤害增加|#00ff00|7%	#debc6a|攻击神威值低于自己的玩家时，伤害增加|#00ff00|10%	508	-1
3662	神威	2	物理	#debc6a|攻击神威值低于自己的玩家时，伤害增加|#00ff00|10%	#debc6a|攻击神威值低于自己的玩家时，伤害增加|#00ff00|12%	508	-1
3663	神威	2	物理	#debc6a|攻击神威值低于自己的玩家时，伤害增加|#00ff00|12%	#debc6a|攻击神威值低于自己的玩家时，伤害增加|#00ff00|15%	508	-1
3664	神威	2	物理	#debc6a|攻击神威值低于自己的玩家时，伤害增加|#00ff00|15%	无	508	-1
3901	鲲灵护体	1	物理	#debc6a|终北之北有溟海者，天池也，有鱼焉，其广数千里，其长称焉，其名为鲲。|n|#debc6a|大鱼可以抵御敌方|#00ff00|3次|#debc6a|技能伤害，冷却CD|#00ff00|120|#debc6a|秒。(鬼影爪不计算在内)	#debc6a|终北之北有溟海者，天池也，有鱼焉，其广数千里，其长称焉，其名为鲲。|n|#debc6a|大鱼可以抵御敌方|#00ff00|3次|#debc6a|技能伤害，冷却CD|#00ff00|90|#debc6a|秒。(鬼影爪不计算在内)	510	全部兽魂等级达到2级
3902	鲲灵护体	1	物理	#debc6a|终北之北有溟海者，天池也，有鱼焉，其广数千里，其长称焉，其名为鲲。\n|#debc6a|大鱼可以抵御敌方|#00ff00|3次|#debc6a|技能伤害，冷却CD|#00ff00|90|#debc6a|秒。(鬼影爪不计算在内)	#debc6a|终北之北有溟海者，天池也，有鱼焉，其广数千里，其长称焉，其名为鲲。\n|#debc6a|大鱼可以抵御敌方|#00ff00|4次|#debc6a|技能伤害，冷却CD|#00ff00|90|#debc6a|秒。(鬼影爪不计算在内)	510	全部兽魂等级达到3级
3903	鲲灵护体	1	物理	#debc6a|终北之北有溟海者，天池也，有鱼焉，其广数千里，其长称焉，其名为鲲。\n|#debc6a|大鱼可以抵御敌方|#00ff00|4次|#debc6a|技能伤害，冷却CD|#00ff00|90|#debc6a|秒。(鬼影爪不计算在内)	#debc6a|终北之北有溟海者，天池也，有鱼焉，其广数千里，其长称焉，其名为鲲。\n|#debc6a|大鱼可以抵御敌方|#00ff00|4次|#debc6a|技能伤害，冷却CD|#00ff00|60|#debc6a|秒。(鬼影爪不计算在内)	510	全部兽魂等级达到4级
3904	鲲灵护体	1	物理	#debc6a|终北之北有溟海者，天池也，有鱼焉，其广数千里，其长称焉，其名为鲲。\n|#debc6a|大鱼可以抵御敌方|#00ff00|4次|#debc6a|技能伤害，冷却CD|#00ff00|60|#debc6a|秒。(鬼影爪不计算在内)	#debc6a|终北之北有溟海者，天池也，有鱼焉，其广数千里，其长称焉，其名为鲲。\n|#debc6a|大鱼可以抵御敌方|#00ff00|5次|#debc6a|技能伤害，冷却CD|#00ff00|60|#debc6a|秒。(鬼影爪不计算在内)	510	全部兽魂等级达到5级
3905	鲲灵护体	1	物理	#debc6a|终北之北有溟海者，天池也，有鱼焉，其广数千里，其长称焉，其名为鲲。\n|#debc6a|大鱼可以抵御敌方|#00ff00|5次|#debc6a|技能伤害，冷却CD|#00ff00|60|#debc6a|秒。(鬼影爪不计算在内)	#debc6a|满级效果谁与争锋	510	-1
4001	吞噬	1	物理	#debc6a|万物皆有灵，唯鲲可吞之！吞噬后有概率产生|#00ff00|极品兽魂|#debc6a|。血量低于|#00ff00|2000W|#debc6a|以下的BOSS可以直接吞噬。(PVE有效)|n|#debc6a|使用|#00ff00|Tab键|#debc6a|可以快捷释放技能	#debc6a|万物皆有灵，唯鲲可吞之！吞噬后有概率产生|#00ff00|极品兽魂|#debc6a|。血量低于|#00ff00|3000W|#debc6a|以下的BOSS可以直接吞噬。(PVE有效)|n|#debc6a|使用|#00ff00|Tab键|#debc6a|可以快捷释放技能	509	鲲灵等级达到11级
4002	吞噬	1	物理	#debc6a|万物皆有灵，唯鲲可吞之！吞噬后有概率产生|#00ff00|极品兽魂|#debc6a|。血量低于|#00ff00|3000W|#debc6a|以下的BOSS可以直接吞噬。(PVE有效)|n|#debc6a|使用|#00ff00|Tab键|#debc6a|可以快捷释放技能	#debc6a|万物皆有灵，唯鲲可吞之！吞噬后有概率产生|#00ff00|极品兽魂|#debc6a|。血量低于|#00ff00|4000W|#debc6a|以下的BOSS可以直接吞噬。(PVE有效)|n|#debc6a|使用|#00ff00|Tab键|#debc6a|可以快捷释放技能	509	鲲灵等级达到21级
4003	吞噬	1	物理	#debc6a|万物皆有灵，唯鲲可吞之！吞噬后有概率产生|#00ff00|极品兽魂|#debc6a|。血量低于|#00ff00|4000W|#debc6a|以下的BOSS可以直接吞噬。(PVE有效)|n|#debc6a|使用|#00ff00|Tab键|#debc6a|可以快捷释放技能	#debc6a|万物皆有灵，唯鲲可吞之！吞噬后有概率产生|#00ff00|极品兽魂|#debc6a|。血量低于|#00ff00|5000W|#debc6a|以下的BOSS可以直接吞噬。(PVE有效)|n|#debc6a|使用|#00ff00|Tab键|#debc6a|可以快捷释放技能	509	鲲灵等级达到31级
4004	吞噬	1	物理	#debc6a|万物皆有灵，唯鲲可吞之！吞噬后有概率产生|#00ff00|极品兽魂|#debc6a|。血量低于|#00ff00|5000W|#debc6a|以下的BOSS可以直接吞噬。(PVE有效)|n|#debc6a|使用|#00ff00|Tab键|#debc6a|可以快捷释放技能	#debc6a|万物皆有灵，唯鲲可吞之！吞噬后有概率产生|#00ff00|极品兽魂|#debc6a|。血量低于|#00ff00|6000W|#debc6a|以下的BOSS可以直接吞噬。(PVE有效)|n|#debc6a|使用|#00ff00|Tab键|#debc6a|可以快捷释放技能	509	鲲灵等级达到41级
4005	吞噬	1	物理	#debc6a|万物皆有灵，唯鲲可吞之！吞噬后有概率产生|#00ff00|极品兽魂|#debc6a|。血量低于|#00ff00|6000W|#debc6a|以下的BOSS可以直接吞噬。(PVE有效)|n|#debc6a|使用|#00ff00|Tab键|#debc6a|可以快捷释放技能	#debc6a|万物皆有灵，唯鲲可吞之！吞噬后有概率产生|#00ff00|极品兽魂|#debc6a|。血量低于|#00ff00|7000W|#debc6a|以下的BOSS可以直接吞噬。(PVE有效)|n|#debc6a|使用|#00ff00|Tab键|#debc6a|可以快捷释放技能	509	鲲灵等级达到51级
4006	吞噬	1	物理	#debc6a|万物皆有灵，唯鲲可吞之！吞噬后有概率产生|#00ff00|极品兽魂|#debc6a|。血量低于|#00ff00|7000W|#debc6a|以下的BOSS可以直接吞噬。(PVE有效)|n|#debc6a|使用|#00ff00|Tab键|#debc6a|可以快捷释放技能	#debc6a|万物皆有灵，唯鲲可吞之！吞噬后有概率产生|#00ff00|极品兽魂|#debc6a|。血量低于|#00ff00|8000W|#debc6a|以下的BOSS可以直接吞噬。(PVE有效)|n|#debc6a|使用|#00ff00|Tab键|#debc6a|可以快捷释放技能	509	鲲灵等级达到61级
4007	吞噬	1	物理	#debc6a|万物皆有灵，唯鲲可吞之！吞噬后有概率产生|#00ff00|极品兽魂|#debc6a|。血量低于|#00ff00|8000W|#debc6a|以下的BOSS可以直接吞噬。(PVE有效)|n|#debc6a|使用|#00ff00|Tab键|#debc6a|可以快捷释放技能	#debc6a|万物皆有灵，唯鲲可吞之！吞噬后有概率产生|#00ff00|极品兽魂|#debc6a|。血量低于|#00ff00|9000W|#debc6a|以下的BOSS可以直接吞噬。(PVE有效)|n|#debc6a|使用|#00ff00|Tab键|#debc6a|可以快捷释放技能	509	鲲灵等级达到71级
4008	吞噬	1	物理	#debc6a|万物皆有灵，唯鲲可吞之！吞噬后有概率产生|#00ff00|极品兽魂|#debc6a|。血量低于|#00ff00|9000W|#debc6a|以下的BOSS可以直接吞噬。(PVE有效)|n|#debc6a|使用|#00ff00|Tab键|#debc6a|可以快捷释放技能	#debc6a|万物皆有灵，唯鲲可吞之！吞噬后有概率产生|#00ff00|极品兽魂|#debc6a|。血量低于|#00ff00|10000W|#debc6a|以下的BOSS可以直接吞噬。(PVE有效)|n|#debc6a|使用|#00ff00|Tab键|#debc6a|可以快捷释放技能	509	鲲灵等级达到81级
4009	吞噬	1	物理	#debc6a|万物皆有灵，唯鲲可吞之！吞噬后有概率产生|#00ff00|极品兽魂|#debc6a|。血量低于|#00ff00|10000W|#debc6a|以下的BOSS可以直接吞噬。(PVE有效)|n|#debc6a|使用|#00ff00|Tab键|#debc6a|可以快捷释放技能	#debc6a|万物皆有灵，唯鲲可吞之！吞噬后有概率产生|#00ff00|极品兽魂|#debc6a|。血量低于|#00ff00|12000W|#debc6a|以下的BOSS可以直接吞噬。(PVE有效)|n|#debc6a|使用|#00ff00|Tab键|#debc6a|可以快捷释放技能	509	鲲灵等级达到91级
4010	吞噬	1	物理	#debc6a|万物皆有灵，唯鲲可吞之！吞噬后有概率产生|#00ff00|极品兽魂|#debc6a|。血量低于|#00ff00|12000W|#debc6a|以下的BOSS可以直接吞噬。(PVE有效)|n|#debc6a|使用|#00ff00|Tab键|#debc6a|可以快捷释放技能	#debc6a|满级效果谁与争锋	509	-1
5001	魔神之锤	1	物理	#debc6a|召唤魔神之锤砸向敌人，|#00ff00|20%|#debc6a|晕眩敌人|#00ff00|0.5秒|#debc6a|，使其无法使用任何技能	#debc6a|召唤魔神之锤砸向敌人，|#00ff00|25%|#debc6a|晕眩敌人|#00ff00|0.75秒|#debc6a|，使其无法使用任何技能	25	魔符全部达到8阶
5002	魔神之锤	1	物理	#debc6a|召唤魔神之锤砸向敌人，|#00ff00|25%|#debc6a|晕眩敌人|#00ff00|0.75秒|#debc6a|，使其无法使用任何技能	#debc6a|召唤魔神之锤砸向敌人，|#00ff00|30%|#debc6a|晕眩敌人|#00ff00|1秒|#debc6a|，使其无法使用任何技能	25	魔符全部达到9阶
5003	魔神之锤	1	物理	#debc6a|召唤魔神之锤砸向敌人，|#00ff00|30%|#debc6a|晕眩敌人|#00ff00|1秒|#debc6a|，使其无法使用任何技能	#debc6a|召唤魔神之锤砸向敌人，|#00ff00|35%|#debc6a|晕眩敌人|#00ff00|1.5秒|#debc6a|，使其无法使用任何技能	25	魔符全部达到10阶
5004	魔神之锤	1	物理	#debc6a|召唤魔神之锤砸向敌人，|#00ff00|35%|#debc6a|晕眩敌人|#00ff00|1.5秒|#debc6a|，使其无法使用任何技能	#debc6a|召唤魔神之锤砸向敌人，|#00ff00|40%|#debc6a|晕眩敌人|#00ff00|2秒|#debc6a|，使其无法使用任何技能	25	魔符全部达到11阶
5005	魔神之锤	1	物理	#debc6a|召唤魔神之锤砸向敌人，|#00ff00|40%|#debc6a|晕眩敌人|#00ff00|2秒|#debc6a|，使其无法使用任何技能	#debc6a|召唤魔神之锤砸向敌人，|#00ff00|45%|#debc6a|晕眩敌人|#00ff00|2.5秒|#debc6a|，使其无法使用任何技能	25	魔符全部达到12阶
5006	魔神之锤	1	物理	#debc6a|召唤魔神之锤砸向敌人，|#00ff00|45%|#debc6a|晕眩敌人|#00ff00|2.5秒|#debc6a|，使其无法使用任何技能	#debc6a|召唤魔神之锤砸向敌人，|#00ff00|50%|#debc6a|晕眩敌人|#00ff00|3秒|#debc6a|，使其无法使用任何技能	25	魔符全部达到13阶
5007	魔神之锤	1	物理	#debc6a|召唤魔神之锤砸向敌人，|#00ff00|50%|#debc6a|晕眩敌人|#00ff00|3秒|#debc6a|，使其无法使用任何技能	#debc6a|满级效果谁与争锋	25	-1
11001	愤怒	2	无	#debc6a|激活盘古斧后，攻击敌人时，5%几率触发|#00ff00|伤害加成10%|#debc6a|，持续5秒。	无	503	-1
11002	抵抗	2	无	#debc6a|激活崆峒印后，受到攻击时，5%几率触发|#00ff00|伤害减免10%|#debc6a|，持续5秒。	无	504	-1
11030	斩魔	2	无	#a54bfa|长生Lv1：生命加成2%	#a54bfa|长生Lv2：生命加成4%	503	-1
11031	斩魔	2	无	#a54bfa|长生Lv2：生命加成4%	#a54bfa|长生Lv2：生命加成6%	503	-1
11032	斩魔	2	无	#a54bfa|长生Lv3：生命加成6%	#a54bfa|长生Lv2：生命加成9%	503	-1
11033	斩魔	2	无	#a54bfa|长生Lv4：生命加成9%	#a54bfa|长生Lv2：生命加成12%	503	-1
11034	斩魔	2	无	#a54bfa|长生Lv5：生命加成12%	无	503	-1
11040	嗜血	2	无	#a54bfa|嗜血Lv1：1%概率对玩家造成当前血量10%伤害(PVP有效)	#a54bfa|嗜血Lv2：2%概率对玩家造成当前血量12%伤害(PVP有效)	504	-1
11041	嗜血	2	无	#a54bfa|嗜血Lv2：2%概率对玩家造成当前血量12%伤害(PVP有效)	#a54bfa|嗜血Lv3：3%概率对玩家造成当前血量14%伤害(PVP有效)	504	-1
11042	嗜血	2	无	#a54bfa|嗜血Lv3：3%概率对玩家造成当前血量14%伤害(PVP有效)	#a54bfa|嗜血Lv4：4%概率对玩家造成当前血量17%伤害(PVP有效)	504	-1
11043	嗜血	2	无	#a54bfa|嗜血Lv4：4%概率对玩家造成当前血量17%伤害(PVP有效)	#a54bfa|嗜血Lv5：5%概率对玩家造成当前血量20%伤害(PVP有效)	504	-1
11044	嗜血	2	无	#a54bfa|嗜血Lv5：5%概率对玩家造成当前血量20%伤害(PVP有效)	无	504	-1
11050	霜冻	2	无	#a54bfa|霜冻Lv1：0.5%概率对玩家造成冰冻3秒(PVP有效)	#a54bfa|霜冻Lv2：1%概率对玩家造成冰冻3秒(PVP有效)	503	-1
11051	霜冻	2	无	#a54bfa|霜冻Lv2：1%概率对玩家造成冰冻3秒(PVP有效)	#a54bfa|霜冻Lv3：1.5%概率对玩家造成冰冻3秒(PVP有效)	503	-1
11052	霜冻	2	无	#a54bfa|霜冻Lv3：1.5%概率对玩家造成冰冻3秒(PVP有效)	#a54bfa|霜冻Lv4：3%概率对玩家造成冰冻3秒(PVP有效)	503	-1
11053	霜冻	2	无	#a54bfa|霜冻Lv4：3%概率对玩家造成冰冻3秒(PVP有效)	#a54bfa|霜冻Lv5：5%概率对玩家造成冰冻3秒(PVP有效)	503	-1
11054	霜冻	2	无	#a54bfa|霜冻Lv5：5%概率对玩家造成冰冻3秒(PVP有效)	无	503	-1
11060	圣体	2	无	#a54bfa|圣体Lv1：1%概率触发无敌3秒(PVP有效)	#a54bfa|圣体Lv2：2%概率触发无敌3秒(PVP有效)	504	-1
11061	圣体	2	无	#a54bfa|圣体Lv2：2%概率触发无敌3秒(PVP有效)	#a54bfa|圣体Lv3：3%概率触发无敌3秒(PVP有效)	504	-1
11062	圣体	2	无	#a54bfa|圣体Lv3：3%概率触发无敌3秒(PVP有效)	#a54bfa|圣体Lv4：4%概率触发无敌4秒(PVP有效)	504	-1
